"VARIÁVEIS VIGITEL","","","","","","","","","",""
"q50","byte"," %8.0g ","LABI ","trajeto a pe ou bicicleta","1","sim, todo o trajeto","","","",""
"","","","","","2","sim, parte do trajeto","","","",""
"","","","","","3","não","","","",""
"q51","byte"," %8.0g ","LABF","duração do trajeto","1","menos que 10 minutos","","","",""
"","","","","","2","entre 10 e 19 minutos","","","",""
"","","","","","3","entre 20 e 29 minutos","","","",""
"","","","","","4","entre 30 e 39 minutos","","","",""
"","","","","","5","entre 40 e 49 minutos","","","",""
"","","","","","6","entre 50 e 59 minutos","","","",""
"","","","","","7","60 minutos ou mais","","","",""
"q52","int ","%8.0g","q52","curso/escola","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","888","não quis informar","","","",""
"q53","byte"," %8.0g "," LABI ","como faz trajeto curso/escola ","1","sim, todo o trajeto","","","",""
"","","","","","2","sim, parte do trajeto","","","",""
"","","","","","3","não","","","",""
"q54","byte"," %8.0g "," LABF ","duração trajeto curso/escola","1","menos que 10 minutos","","","",""
"","","","","","2","entre 10 e 19 minutos","","","",""
"","","","","","3","entre 20 e 29 minutos","","","",""
"","","","","","4","entre 30 e 39 minutos","","","",""
"","","","","","5","entre 40 e 49 minutos","","","",""
"","","","","","6","entre 50 e 59 minutos","","","",""
"","","","","","7","60 minutos ou mais","","","",""
"q55","byte"," %8.0g ","q55 ","faxina","1","eu sozinho","","","",""
"","","","","","2","eu com outra pessoa","","","",""
"","","","","","3","outra pessoa","","","",""
"q56","byte"," %8.0g ","q56 ","parte pesada","1","o(a) sr(a)","","","",""
"","","","","","2","outra pessoa","","","",""
"","","","","","3","ambos","","","",""
"r149","int "," %8.0g ","r149 ","quantos dias de faxina na semana","555","menos de uma vez por semana","","","",""
"","","","","","888","não quis responder","","","",""
"r150_hh","int "," %8.0g "," LABJ","tempo de faxina/ horas","","","","","",""
"r150_mm","int "," %8.0g "," LABJ","tempo de faxina/ minutos","","","","","",""
"q59a","byte ","%8.0g","q59a ","quantas horas assiste tv / dia","1","menos de 1 hora","","","",""
"","","","","","2","entre 1 e 2 horas","","","",""
"","","","","","3","entre 2 e 3 horas","","","",""
"","","","","","4","entre 3 e 4 horas","","","",""
"","","","","","5","entre 4 e 5 horas","","","",""
"","","","","","6","entre 5 e 6 horas","","","",""
"","","","","","7","mais de 6 horas","","","",""
"","","","","","8","não assiste televisão","","","",""
"q59b ","int "," %8.0g ","q59b ","uso de computador, tablet ou celular no tempo  livre","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"q59c ","byte "," %8.0g ","q59c","em média, este uso do computador, tablet ou  celular","1","menos de 1 hora","","","",""
"","","","","","2","entre 1 e 2 horas","","","",""
"","","","","","3","entre 2 e 3 horas","","","",""
"","","","","","4","entre 3 e 4 horas","","","",""
"","","","","","5","entre 4 e 5 horas","","","",""
"","","","","","6","entre 5 e 6 horas","","","",""
"","","","","","7","mais de 6 horas","","","",""
"q60","byte "," %8.0g ","q60","fumante","1","sim, diariamente","","","",""
"","","","","","2","sim, mas não diariamente","","","",""
"","","","","","3","não","","","",""
"q61 ","int","%8.0g ","LABK ","cigarros diário","","","","","",""
"q61a ","int","%8.0g ","LABK ","cigarros semanal","","","","","",""
"q61_fx","int","%8.0g ","LABL","cigarros diário (agrupamento em faixas)","1","01 a 04","","","",""
"","","","","","2","05 a 09","","","",""
"","","","","","3","10 a 14","","","",""
"","","","","","4","15 a 19","","","",""
"","","","","","5","20 a 29","","","",""
"","","","","","6","30 a 39","","","",""
"","","","","","7","40 ou mais","","","",""
"","","","","","888","não sabe/não quis responder","","","",""
"q61a_fx","int","%8.0g ","LABL"," cigarros semanal (agrupamento em faixas)","1","01 a 04","","","",""
"","","","","","2","05 a 09","","","",""
"","","","","","3","10 a 14","","","",""
"","","","","","4","15 a 19","","","",""
"","","","","","5","20 a 29","","","",""
"","","","","","6","30 a 39","","","",""
"","","","","","7","40 ou mais","","","",""
"","","","","","888","não sabe/não quis responder","","","",""
"q62","int","%8.0g ","q62","idade inÍcio (anos)","777","não lembra","","","",""
"q63","byte","%8.0g ","q63 ","tentou parar","1","sim","","","",""
"","","","","","2","não","","","",""
"q64","byte ","%8.0g ","q64","ex-fumante","1","sim, diariamente","","","",""
"","","","","","2","sim, mas não diariamente","","","",""
"","","","","","3","não","","","",""
"q67"," int"," %8.0g","q67","contato c/ fumo em casa","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","888","não quis informar","","","",""
"q68"," int"," %8.0g","q68","contato c/ fumo no trabalho","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","888","não quis informar","","","",""
"r157"," int"," %8.0g","r157 ","trabalha em local fechado","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","888","não quis informar","","","",""
"q69"," int"," %8.0g","q69 ","cor","1","branca","","","",""
"","","","","","2","preta","","","",""
"","","","","","3","amarela","","","",""
"","","","","","4","parda","","","",""
"","","","","","5","indígena","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis informar","","","",""
"q69_ou ","str31","%31s ","","cor - outra","","","","","",""
"q70","byte"," %8.0g ","q70","outro fone","1","sim","","","",""
"","","","","","2","não","","","",""
"q71","byte"," %8.0g "," q71 ","quantos","2","2 linhas","","","",""
"","","","","","3","3 linhas","","","",""
"","","","","","4","4 linhas","","","",""
"","","","","","5","5 linhas","","","",""
"q74","int ","%8.0g ","q74 ","estado de saúde","1","muito bom","","","",""
"","","","","","2","bom","","","",""
"","","","","","3","regular","","","",""
"","","","","","4","ruim","","","",""
"","","","","","5","muito ruim","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis informar","","","",""
"q75","int ","%8.0g ","LABM ","pressão alta","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"r203 ","int ","%8.0g ","r203"," médico receitou medicamento pressão alta","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"r129","int ","%8.0g ","r129 ","medicamento","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"r130","int ","%8.0g ","LABN ","onde consegue medicação pressão","1","unidade de saude do SUS","","","",""
"","","","","","2","Farmácia Popular","","","",""
"","","","","","3","outro lugar","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"r130a","int ","%8.0g ","LABN ","onde consegue medicação pressão","1","unidade de saude do SUS","","","",""
"","","","","","2","Farmácia Popular do Governo Federal","","","",""
"","","","","","3","outro lugar (farmácia privada/particular, drogaria)","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"q76","int ","%8.0g ","LABM ","diabetes","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"r138","int ","%8.0g ","r138","diabetes apenas na gravidez","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","3","nunca engravidou","","","",""
"","","","","","777","não lembra","","","",""
"r202","int ","%8.0g ","r202 "," idade do ínicio do diabetes","777","não sabe / não lembra","","","",""
"r204 ","int ","%8.0g ","r204 "," médico receitou medicamento diabetes","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"r133a","int ","%8.0g "," LABO ","comprimido diabetes","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"r134c ","int  ","%8.0g","LABN ","onde consegue comprimido diabetes","1","unidade de saúde do sus","","","",""
"","","","","","2","farmácia popular do governo  federal","","","",""
"","","","","","3","outro lugar (farmácia privada/particular, drogaria","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"r133b","int  ","%8.0g","LABO ","insulina diabetes","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"r134b","int  ","%8.0g","LABN "," onde consegue insulina diabetes","1","unidade de saúde do sus","","","",""
"","","","","","2","farmácia popular do governo  federal","","","",""
"","","","","","3","outro lugar (farmácia privada/particular, drogaria","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"q78","int  ","%8.0g","q78","colesterol ou triglicerides","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe/não lembra","","","",""
"q79a","int  ","%8.0g"," LABP","papanicolau","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"q80","int  ","%8.0g","LABQ ","tempo","1","menos de 1 ano","","","",""
"","","","","","2","entre 1 e 2 anos","","","",""
"","","","","","3","entre 2 e 3 anos","","","",""
"","","","","","4","entre 3 e 5 anos","","","",""
"","","","","","5","5 anos ou mais","","","",""
"","","","","","777","não lembra","","","",""
"q81","int  ","%8.0g ","LABP ","mamografia","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"q82","int  ","%8.0g ","LABQ ","tempo","1","menos de 1 ano","","","",""
"","","","","","2","entre 1 e 2 anos","","","",""
"","","","","","3","entre 2 e 3 anos","","","",""
"","","","","","4","entre 3 e 5 anos","","","",""
"","","","","","5","5 ou mais anos","","","",""
"","","","","","777","não lembra","","","",""
"q88","int  ","%8.0g ","q88","posse de plano de saúde","1","sim, apenas 1","","","",""
"","","","","","2","sim, mais de um","","","",""
"","","","","","3","não","","","",""
"","","","","","888","não quis informar","","","",""
"r135","int  ","%8.0g ","LABR  ","nos últimos 12 meses foi multado?","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r136","int","%8.0g ","r136 ","qual o local","1","dentro da cidade (via urbana)","","","",""
"","","","","","2","rodovia","","","",""
"","","","","","3","ambos","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r153","int ","%8.0g ","LABR ","passou em blitz","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r137a","int ","%8.0g ","LABR ","parado em blitz","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r154","int ","%8.0g ","LABR ","convidado bafometro","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r155","int ","%8.0g ","LABR ","fez o bafometro","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r156","int ","%8.0g ","LABR ","deu positivo","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não lembra","","","",""
"","","","","","888","não quis responder","","","",""
"r900 ","int "," %8.0g ","r900 ","recebe bolsa família","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"obs_r900 ","str181 ","%181s ",""," (observações) recebe bolsa família","","","","","",""
"d1 "," int "," %8.0g  "," d1"," nos últimos 30 dias, ficou sem a insulina","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"d2"," int "," %8.0g  ","d2"," por que ficou sem a insulina","1","não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus","","","",""
"","","","","","2"," porque não tinha dinheiro para comprar","","","",""
"","","","","","3"," esqueceu/não quis tomar/comprar/buscar","","","",""
"","","","","","4","outro motivo","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"d3  "," int "," %8.0g  ","d3  "," nos últimos 30 dias, ficou sem os comprimidos para controlar o diabetes","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"d4 ","byte"," %8.0g  ","d4 "," por que ficou sem este medicamento (comprimido diabetes)","1","não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus","","","",""
"","","","","","2"," porque não tinha dinheiro para comprar","","","",""
"","","","","","3"," esqueceu/não quis tomar/comprar/buscar","","","",""
"","","","","","4","outro motivo","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"d5 "," int "," %8.0g  ","d5 ","algum outro medicamento, deveria estar usando,  nos últimos 30 dias, para a diabe","1","sim","","","",""
"","","","","","2","não","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"d6 "," int "," %8.0g  ","d6 ","por que ficou sem este medicamento (outro medicamento diabetes)","1","não tinha/estava em falta no posto de saúde/unidade de  saúde/secretaria de saúde/sus","","","",""
"","","","","","2"," porque não tinha dinheiro para comprar","","","",""
"","","","","","3"," esqueceu/não quis tomar/comprar/buscar","","","",""
"","","","","","4","outro motivo","","","",""
"","","","","","777","não sabe","","","",""
"","","","","","888","não quis responder","","","",""
"moradores","byte"," %8.0g  ","","moradores","","","","","",""
"adultos","byte"," %8.0g  ","","adultos","","","","","",""
"obs","str244 "," %244s  ","","observações","","","","","",""
"pesorake ","double"," %14.2fc",""," pesorake","","","","","",""
"fet"," float","%12.0g"," FET"," Faixa etária","1","18 a 24","","","",""
"","","","","","2","25 a 34 anos","","","",""
"","","","","","3","35 a 44 anos","","","",""
"","","","","","4","45 a 54 anos","","","",""
"","","","","","5","55 a 64 anos","","","",""
"","","","","","6","65 anos e mais","","","",""
"cat_esc"," float"," %9.0g","","Categorias (idade | sexo) para imputação da  escolaridade","","","","","",""
"fesc","float ","%11.0g ","FESC","Faixa de escolaridade","1","0 a 8 anos","","","",""
"","","","","","2","9 a 11 anos","","","",""
"","","","","","3","12 anos e mais","","","",""
"fxesc ","float ","%14.0g","FXESC ","Faixa de escolaridade (RAKE)","1","0 a 7,9 anos","","","",""
"","","","","","2","8 a 10,9 anos","","","",""
"","","","","","3","11 a 14,9 anos","","","",""
"","","","","","4","15 a 20 anos","","","",""
"q9_i"," float ","%9.0g ","LABB ","peso (kg) - valores imputados","","","","","",""
"q11_i"," int "," %8.0g ","LABB ","altura (cm) - valores imputados","","","","","",""
"pinterno","float "," %9.0g ","","","","","","","",""
"q69_cor","byte","%10.0g","","q69_cor","1","branca","","","",""
"","","","","","2","negra","","","",""
